stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,fsa_stop_id,fsa_stop_routes
TBE,"Tooting Bec",,,,,TBE,N
ECM,"Ealing Common",,,,,ECM,D;P
MCR,"Mornington Crescent",,,,,MCR,N
HTX,"Hatton Cross",,,,,HTX,P
HNC,"Hounslow Central",,,,,HNC,P
HNE,"Hounslow East",,,,,HNE,P
HND,"Hendon Central",,,,,HND,N
COV,"Covent Garden",,,,,COV,P
NHR,"North Harrow",,,,,NHR,M
WGN,"Wood Green",,,,,WGN,P
WBT,"West Brompton",,,,,WBT,D
PER,"Perivale",,,,,PER,C
NEA,"Neasden",,,,,NEA,J
HNW,"Hounslow West",,,,,HNW,P
ACT,"Acton Town",,,,,ACT,D;P
BCT,"Barons Court",,,,,BCT,D;P
SWM,"South Wimbledon",,,,,SWM,N
CTN,"Camden Town",,,,,CTN,N
THL,"Tower Hill",,,,,THL,O;D;H
COL,"Colindale",,,,,COL,N
NEP,"Newbury Park",,,,,NEP,C
WHD,"West Hampstead",,,,,WHD,J
BKG,"Barking",,,,,BKG,O;D;H
OLD,"Old Street",,,,,OLD,N
TEM,"Temple",,,,,TEM,O;D;H
GGR,"Golders Green",,,,,GGR,N
BST,"Baker Street",,,,,BST,B;O;H;J;M
WHM,"West Ham",,,,,WHM,O;D;H;J
DGH,"Dagenham Heathway",,,,,DGH,D
STG,"Stepney Green",,,,,STG,O;D;H
WCL,"Whitechapel",,,,,WCL,O;D;H;M
VUX,"Vauxhall",,,,,VUX,V
ECT,"Earl's Court",,,,,ECT,D;P
KPK,"Kilburn Park",,,,,KPK,B
FLP,"Fairlop",,,,,FLP,C
TPL,"Turnpike Lane",,,,,TPL,P
OLY,"Kensington (Olympia)",,,,,OLY,D
SEL,"South Ealing",,,,,SEL,P
MDV,"Maida Vale",,,,,MDV,B
SWC,"Swiss Cottage",,,,,SWC,J
WAN,"Wanstead",,,,,WAN,C
WAL,"Walthamstow Central",,,,,WAL,V
LBG,"Ladbroke Grove",,,,,LBG,O;H
FRD,"Finchley Road",,,,,FRD,J;M
RCP,"Ravenscourt Park",,,,,RCP,D
CLF,"Chalfont & Latimer",,,,,CLF,M
WPK,"Wembley Park",,,,,WPK,J;M
WAC,"West Acton",,,,,WAC,C
BBB,"Bromley-by-Bow",,,,,BBB,O;D;H
ELE,"Elephant & Castle",,,,,ELE,B;N
SRP,"South Ruislip",,,,,SRP,C
WBP,"Westbourne Park",,,,,WBP,O;H
CLW,"Colliers Wood",,,,,CLW,N
LTN,"Loughton",,,,,LTN,C
EUS,"Euston",,,,,EUS,N;V
PLW,"Plaistow",,,,,PLW,O;D;H
KEN,"Kennington",,,,,KEN,N
MYB,"Marylebone",,,,,MYB,B
EDG,"Edgware",,,,,EDG,N
BRX,"Brixton",,,,,BRX,V
FBY,"Fulham Broadway",,,,,FBY,D
ALE,"Aldgate East",,,,,ALE,D;H
RUG,"Ruislip Gardens",,,,,RUG,C
SBC,"Shepherd's Bush",,,,,SBC,C
WFY,"West Finchley",,,,,WFY,N
KEW,"Kew Gardens",,,,,KEW,D
LEY,"Leyton",,,,,LEY,C
ALP,"Alperton",,,,,ALP,P
WHR,"West Harrow",,,,,WHR,M
SWK,"Southwark",,,,,SWK,J
BAR,"Barbican",,,,,BAR,O;H;M
RUI,"Ruislip",,,,,RUI,M;P
BPK,"Belsize Park",,,,,BPK,N
LON,"London Bridge",,,,,LON,J;N
TOT,"Totteridge & Whetstone",,,,,TOT,N
BAY,"Bayswater",,,,,BAY,O;H
ERD,"Edgware Road (Hammersmith & City)",,,,,ERD,O;D;H
WSP,"Woodside Park",,,,,WSP,M;N
TTH,"Tottenham Hale",,,,,TTH,V
STK,"Stockwell",,,,,STK,N;V
WST,"Warren Street",,,,,WST,N;V
ERB,"Edgware Road (Bakerloo)",,,,,ERB,B
BAL,"Balham",,,,,BAL,N
TGR,"Turnham Green",,,,,TGR,D;P
FYC,"Finchley Central",,,,,FYC,N
NHG,"Notting Hill Gate",,,,,NHG,C;O;H
FAR,"Farringdon",,,,,FAR,O;H;M
EAC,"East Acton",,,,,EAC,C
GPK,"Green Park",,,,,GPK,J;P;V
RKY,"Rickmansworth",,,,,RKY,M
NHT,"Northolt",,,,,NHT,C
PGR,"Parsons Green",,,,,PGR,D
HIG,"Highgate",,,,,HIG,N
RPK,"Regent's Park",,,,,RPK,B
SJP,"St. James's Park",,,,,SJP,O;D;H
CYL,"Chancery Lane",,,,,CYL,C
ICK,"Ickenham",,,,,ICK,M;P
WJN,"Willesden Junction",,,,,WJN,B
CNT,"Canning Town",,,,,CNT,J
DHL,"Dollis Hill",,,,,DHL,J
STA,"Stanmore",,,,,STA,J
ESQ,"Euston Square",,,,,ESQ,O;H;M
MLE,"Mile End",,,,,MLE,C;D;H;O
